nuts2,region_name,unemployment_c1,unemployment_c2
FRC2,Franche-Comté,7.1,7.266666667
FRD1,Basse-Normandie,7.766666667,6.833333333
FRD2,Haute-Normandie,10.03333333,8.366666667
FRE1,Nord-Pas de Calais,14.7,12.03333333
FRE2,Picardie,9.8,10.1
FRF1,Alsace,6.433333333,6.4
FRF2,Champagne-Ardenne,10.23333333,8.166666667
FRF3,Lorraine,8.433333333,8.966666667
FRG0,Pays de la Loire,8.333333333,6.666666667
FRH0,Bretagne,6.8,6.9
FRI1,Aquitaine,10.2,7.233333333
FRI2,Limousin,7.233333333,6.3
FRI3,Poitou-Charentes,8.3,7.533333333
FRJ1,Languedoc-Roussillon,14.43333333,10.86666667
FRJ2,Midi-Pyrénées,9,7.5
FRK1,Auvergne,8.2,7.566666667
FRK2,Rhône-Alpes,7.4,7.133333333
FRL0,Provence-Alpes-Côte d’Azur,12.7,10.03333333
FRM0,Corse,22.8,10.66666667
FRY1,Guadeloupe,25.6,25.13333333
FRY2,Martinique,23.45,21.3
FRY3,Guyane,26.25,24.46666667
FRY4,La Réunion,30.4,27.5
FRY5,Mayotte,,
HR02,Panonska Hrvatska,,
HR03,Jadranska Hrvatska,,9.3
HR04,Kontinentalna Hrvatska (NUTS 2016),,9.6
HR05,Grad Zagreb,,
HR06,Sjeverna Hrvatska,,
HU10,Közép-Magyarország (NUTS 2013),4.6,5
HU11,Budapest,,
HU12,Pest,,
HU21,Közép-Dunántúl,4.666666667,5.733333333
HU22,Nyugat-Dunántúl,3.966666667,5.6
HU23,Dél-Dunántúl,7.766666667,9.3
HU31,Észak-Magyarország,8.766666667,11.36666667
HU32,Észak-Alföld,8.6,10.2
HU33,Dél-Alföld,5.466666667,8.033333333
IE01,"Border, Midland and Western (NUTS 2013)",5.2,4.7
IE02,Southern and Eastern (NUTS 2013),3.7,4.533333333
IE04,Northern and Western,,
IE05,Southern,,
IE06,Eastern and Midland,,
IS00,Ísland,2.266666667,2.533333333
ITC1,Piemonte,5.8,4.333333333
ITC2,Valle d’Aosta/Vallée d’Aoste,,3.1
ITC3,Liguria,7.166666667,5.133333333
ITC4,Lombardia,4.066666667,3.733333333
ITF1,Abruzzo,5.9,6.9
ITF2,Molise,13.1,9.3
ITF3,Campania,22.3,13
ITF4,Puglia,15.13333333,12.76666667
ITF5,Basilicata,16.2,10.76666667
ITF6,Calabria,26,12.73333333
ITG1,Sicilia,21.86666667,14.13333333
ITG2,Sardegna,19.46666667,11.13333333
ITH1,Provincia Autonoma di Bolzano/Bozen,2.25,2.666666667
ITH2,Provincia Autonoma di Trento,3.8,3.2
ITH3,Veneto,3.866666667,3.933333333
ITH4,Friuli-Venezia Giulia,4.033333333,3.7
ITH5,Emilia-Romagna,,3.4
ITI1,Toscana,5.6,4.9
ITI2,Umbria,5.7,5.233333333
ITI3,Marche,,4.533333333
ITI4,Lazio,10.33333333,7.2
LT00,Lietuva (NUTS 2013),15.3,6.133333333
LT01,Sostinės regionas,,
LT02,Vidurio ir vakarų Lietuvos regionas,,
LU00,Luxembourg,2.233333333,4.433333333
LV00,Latvija,13.96666667,7.7
ME00,Crna Gora,,
MK00,Severna Makedonija,,35.55
MT00,Malta,6.766666667,6.733333333
NL11,Groningen,3.933333333,7.766666667
NL12,Friesland (NL),3.333333333,5
NL13,Drenthe,3.1,5.866666667
NL21,Overijssel,2.633333333,5.2
NL22,Gelderland,2.3,4.3
NL23,Flevoland,3.233333333,6.4
NL31,Utrecht (NUTS 2021),1.866666667,4.333333333
NL32,Noord-Holland,2.333333333,4.966666667
NL33,Zuid-Holland (NUTS 2021),2.433333333,5.366666667
NL34,Zeeland,2.733333333,3.7
NL35,Utrecht,,
NL36,Zuid-Holland,,
NL41,Noord-Brabant,2.133333333,4.233333333
NL42,Limburg (NL),2.533333333,5.933333333
NO01,Oslo og Akershus (statistical region 2016),3.133333333,3.533333333
NO02,Innlandet,3.333333333,3.166666667
NO03,Sør-Østlandet (statistical region 2016),3.766666667,3.866666667
NO04,Agder og Rogaland (statistical region 2016),4.033333333,2.966666667
NO05,Vestlandet (statistical region 2016),3.5,3.066666667
NO06,Trøndelag,4.166666667,3.4
NO07,Nord-Norge,4.966666667,3.866666667
NO08,Oslo og Viken,,
NO09,Agder og Sør-Østlandet,,
NO0A,Vestlandet,,
Observation flags:,,,
PL21,Małopolskie,13.46666667,12.16666667
PL22,Śląskie,19.86666667,13.76666667
PL41,Wielkopolskie,17.3,12.73333333
PL42,Zachodniopomorskie,22.86666667,17.13333333
PL43,Lubuskie,23.53333333,14.33333333
PL51,Dolnośląskie,24,17.63333333
PL52,Opolskie,18.26666667,13.26666667
PL61,Kujawsko-pomorskie,20.76666667,15.83333333
PL62,Warmińsko-mazurskie,24,15.63333333
PL63,Pomorskie,18.63333333,14.06666667
PL71,Łódzkie,18.7,13.36666667
PL72,Świętokrzyskie,18.66666667,15.56666667
PL81,Lubelskie,15,12.23333333
PL82,Podkarpackie,16.8,13.43333333
PL84,Podlaskie,16,11.63333333
PL91,Warszawski stołeczny,,
PL92,Mazowiecki regionalny,,
PT11,Norte,3.933333333,9.133333333
PT15,Algarve,4.5,6.2
PT16,Centro (PT) (NUTS 2021),2.566666667,5.566666667
PT17,Área Metropolitana de Lisboa (NUTS 2021),5.6,8.733333333
PT18,Alentejo (NUTS 2021),6.1,8.933333333
PT19,Centro (PT),,
PT1A,Grande Lisboa,,
PT1B,Península de Setúbal,,
PT1C,Alentejo,,
PT1D,Oeste e Vale do Tejo,,
PT20,Região Autónoma dos Açores,,4.3
PT30,Região Autónoma da Madeira,,5.566666667
RO11,Nord-Vest,7.3,5.366666667
RO12,Centru,7.3,8.633333333
RO21,Nord-Est,6.666666667,5.533333333
RO22,Sud-Est,9.466666667,8.466666667
RO31,Sud-Muntenia,7.933333333,8.933333333
RO32,Bucureşti-Ilfov,8.3,5.266666667
RO41,Sud-Vest Oltenia,5.6,6.833333333
RO42,Vest,6.4,6.233333333
RS11,Beogradski region,,
RS12,Region Vojvodine,,
RS21,Region Sumadije i Zapadne Srbije,,
RS22,Region Juzne i Istocne Srbije,,
SE11,Stockholm,3.366666667,6.133333333
SE12,Östra Mellansverige,5.333333333,7.366666667
SE21,Småland med öarna,4.033333333,5.633333333
SE22,Sydsverige,6.433333333,7.933333333
SE23,Västsverige,4.7,6.5
SE31,Norra Mellansverige,6.4,7.633333333
SE32,Mellersta Norrland,6.666666667,7.266666667
SE33,Övre Norrland,6.966666667,8
SI01,Vzhodna Slovenija (NUTS 2010),6.65,6.8
SI02,Zahodna Slovenija (NUTS 2010),4.85,4.633333333
SI03,Vzhodna Slovenija,,
SI04,Zahodna Slovenija,,
SK01,Bratislavský kraj,7.966666667,4.733333333
SK02,Západné Slovensko,17.9,10.03333333
SK03,Stredné Slovensko,21.23333333,17.1
SK04,Východné Slovensko,23.76666667,19.03333333
Special value,,,
TR10,İstanbul,,9.95
TR21,"Tekirdağ, Edirne, Kırklareli",,6.7
TR22,"Balıkesir, Çanakkale",,4.75
TR31,İzmir,,9.85
