nuts2,sbr,total_contracts,ref_gdp_c1,running_var,treatment,cycle,cycle_post,educ_share,pop_density,Service_Share,Agriculture_Share,log_pop_density,country,latitude,longitude,dist_brussels_km,dist_capital_km,post_communist,mediterranean,terrain_ruggedness,country_code,gov_effectiveness_norm,unemployment
AT11,0.1096938775510204,78,86.33333333333333,11.333333333333329,0,1,0,14.528571428571428,77.35714285714286,0.6681972731158103,0.039545503083247016,4.361277130659972,AT,48.2082,16.3738,914.8,0.0,0.0,0.0,7.5,AT,0.896188348,4.933333333
AT12,0.1149426041689862,888,104.33333333333333,29.33333333333333,0,1,0,16.942857142857143,84.97142857142856,0.647687795295682,0.029549017420982683,4.454015015140631,AT,47.0707,15.4395,910.8,144.6,0.0,0.0,7.5,AT,0.896188348,4.0
AT13,0.15980555321792828,1009,176.66666666666666,101.66666666666666,0,1,0,26.38571428571429,4303.9,0.8325222334052981,0.00045575538983816437,8.367509187788322,AT,48.2082,16.3738,914.8,0.0,0.0,0.0,7.5,AT,0.896188348,7.066666667
AT21,0.05492987510216513,302,108.66666666666667,33.66666666666667,0,1,0,16.685714285714287,59.55714285714286,0.6555968091408039,0.020778669280626105,4.103587429303278,AT,47.8095,13.055,715.0,250.8,0.0,0.0,7.5,AT,0.896188348,4.533333333
AT22,0.08528917310605466,484,112.0,37.0,0,1,0,16.54285714285714,74.25714285714285,0.6220331411048906,0.025080777110911667,4.320910820813813,AT,46.6241,14.305,867.0,235.1,0.0,0.0,7.5,AT,0.896188348,4.866666667
AT31,0.10551779542104864,364,125.33333333333333,50.33333333333333,0,1,0,16.857142857142858,120.45714285714287,0.5741699954102251,0.018895922443395302,4.799561466869377,AT,47.2692,11.4041,649.6,385.9,0.0,0.0,7.5,AT,0.896188348,3.633333333
AT32,0.20537899528344064,255,141.33333333333334,66.33333333333334,0,1,0,19.557142857142857,74.94285714285715,0.7240271776757078,0.010379951927674482,4.329981177783777,AT,47.8095,13.055,715.0,250.8,0.0,0.0,7.5,AT,0.896188348,2.833333333
AT33,0.04271920710458916,361,130.33333333333334,55.33333333333334,0,1,0,17.771428571428572,56.5,0.6910412436273242,0.009836337220448113,4.051784947803305,AT,47.2692,11.4041,649.6,385.9,0.0,0.0,7.5,AT,0.896188348,2.766666667
AT34,0.1937851541295635,111,133.33333333333334,58.33333333333334,0,1,0,16.95714285714286,145.67142857142855,0.591666087690931,0.006493109772735711,4.988194905249606,AT,47.25,9.5833,552.6,518.8,0.0,0.0,7.5,AT,0.896188348,2.8
BG31,0.36111111111111116,72,26.333333333333332,-48.66666666666667,1,1,0,18.099999999999998,45.65714285714286,0.5586220268086431,0.1211211264772499,3.8428260314810516,BG,42.6977,23.3219,1698.0,0.0,1.0,0.0,5.5,BG,0.4782761105,
BG32,0.19132349132349133,98,26.0,-49.0,1,1,0,20.37142857142857,58.957142857142856,0.5784922892128218,0.10223375267898771,4.093630021284232,BG,43.2141,27.9147,1965.9,378.1,1.0,0.0,5.5,BG,0.4782761105,
BG33,0.35972382880277615,107,27.666666666666668,-47.33333333333333,1,1,0,21.928571428571427,67.05714285714285,0.6322176376470916,0.07579423492440333,4.220347688425831,BG,42.1354,24.7453,1828.2,132.5,1.0,0.0,5.5,BG,0.4782761105,
BG34,0.14637605042016807,130,29.333333333333332,-45.66666666666667,1,1,0,18.357142857142858,55.42857142857143,0.5277147683443528,0.0629102000219047,4.0329756158458085,BG,42.5048,27.4626,1980.8,339.6,1.0,0.0,5.5,BG,0.4782761105,
BG41,0.2837281079928139,253,42.333333333333336,-32.666666666666664,1,1,0,33.57142857142857,105.64285714285714,0.7533950652529742,0.01702822495077623,4.6694854679239315,BG,42.6977,23.3219,1698.0,0.0,1.0,0.0,5.5,BG,0.4782761105,13.4
BG42,0.4699926900584795,98,23.0,-52.0,1,1,0,18.585714285714285,67.32857142857144,0.552569794834644,0.08755228554151993,4.224328001630938,BG,42.1438,24.7495,1827.9,132.4,1.0,0.0,5.5,BG,0.4782761105,
CY00,0.08299999999999999,89,97.0,22.0,0,1,0,36.24285714285714,89.37142857142858,0.8108856546004739,0.02332054713498397,4.503928161816235,CY,35.1264,33.4299,2909.9,0.0,0.0,1.0,4.0,CY,0.791456012,4.1
CZ01,0.461541548381669,1058,152.0,77.0,0,1,0,33.84285714285714,2522.157142857143,0.8259494353439247,0.003187414113010999,7.833266230830353,CZ,50.0755,14.4378,718.5,0.0,1.0,0.0,4.5,CZ,0.649272733,3.733333333
CZ02,0.4945908666496902,223,75.33333333333333,0.3333333333333286,0,1,0,15.457142857142857,115.71428571428571,0.5421670467456426,0.02706747040307397,4.75972894580469,CZ,49.9485,14.973,758.8,40.8,1.0,0.0,4.5,CZ,0.649272733,6.333333333
CZ03,0.3611111111111111,11,69.66666666666667,-5.333333333333329,1,1,0,14.799999999999999,70.48571428571428,0.5405897478643322,0.039175254983473566,4.269497629537443,CZ,49.3933,13.9627,703.5,83.2,1.0,0.0,4.5,CZ,0.649272733,5.333333333
CZ04,0.14523809523809522,32,61.0,-14.0,1,1,0,9.4,133.3857142857143,0.525924472332943,0.019922897260313512,4.9007141299225925,CZ,50.6607,13.9775,677.0,72.8,1.0,0.0,4.5,CZ,0.649272733,12.66666667
CZ05,0.06666666666666667,10,66.33333333333333,-8.666666666666671,1,1,0,13.657142857142857,122.7,0.5274193878157729,0.03218391230155094,4.8178592793984425,CZ,50.2093,15.8329,813.8,100.5,1.0,0.0,4.5,CZ,0.649272733,5.9
CZ06,0.027777777777777776,22,66.66666666666667,-8.333333333333329,1,1,0,18.25714285714286,121.77142857142857,0.5712983614203766,0.032640141073732705,4.810324322285582,CZ,49.1952,16.608,893.6,184.4,1.0,0.0,4.5,CZ,0.649272733,7.033333333
CZ07,0.24,18,59.666666666666664,-15.333333333333336,1,1,0,14.257142857142856,134.65714285714287,0.5169360516907049,0.029889947526902987,4.910130694240145,CZ,49.5938,17.2509,927.0,208.7,1.0,0.0,4.5,CZ,0.649272733,9.566666667
CZ08,0.13636363636363635,36,57.666666666666664,-17.333333333333336,1,1,0,14.614285714285714,232.58571428571426,0.5050146686774221,0.014577817170330817,5.453549094485227,CZ,49.8209,18.2625,992.4,275.1,1.0,0.0,4.5,CZ,0.649272733,13.9
DE11,0.12687934870563813,462,162.33333333333334,87.33333333333334,0,1,0,30.042857142857144,376.59999999999997,0.6024442894778911,0.004974502880385765,5.933835434271345,DE,48.7758,9.1829,416.3,511.6,0.0,0.0,3.5,DE,0.854465749,3.9
DE12,0.15458648494362778,121,144.0,69.0,0,1,0,29.25714285714286,392.3,0.6703392345102037,0.0038286064808782617,5.974572679437764,DE,49.0069,8.4037,355.1,525.4,0.0,0.0,3.5,DE,0.854465749,4.633333333
DE13,0.33158032443746727,181,121.33333333333333,46.33333333333333,0,1,0,27.37142857142857,232.92857142857142,0.628212964022374,0.009520667077488842,5.455015818454093,DE,47.999,7.8421,405.2,639.2,0.0,0.0,3.5,DE,0.854465749,4.133333333
DE14,0.030869219986079933,169,128.66666666666666,53.66666666666666,0,1,0,29.928571428571427,200.84285714285713,0.5929436293753432,0.009365161035339825,5.307489459716448,DE,48.5216,9.0576,426.1,540.3,0.0,0.0,3.5,DE,0.854465749,3.666666667
DE21,0.11994110282694008,130,184.0,109.0,0,1,0,34.24285714285714,248.52857142857144,0.7242453309266167,0.0053184348935562,5.519573423379034,DE,48.1351,11.582,602.8,504.4,0.0,0.0,3.5,DE,0.854465749,3.066666667
DE22,0.06311755471419336,81,114.0,39.0,0,1,0,21.785714285714285,114.87142857142858,0.5839137321686826,0.021959060249505415,4.752481202020986,DE,48.88,12.87,648.2,406.5,0.0,0.0,3.5,DE,0.854465749,3.833333333
DE23,0.04285714285714286,63,118.33333333333333,43.33333333333333,0,1,0,23.228571428571428,111.42857142857143,0.5910088987831624,0.01644484930882198,4.72231809936209,DE,49.4401,12.096,573.4,354.5,0.0,0.0,3.5,DE,0.854465749,4.8
DE24,0.06666666666666667,25,109.0,34.0,0,1,0,24.62857142857143,148.4,0.6574587806260758,0.012298256435291173,5.006627272698717,DE,49.9774,10.9496,477.3,330.3,0.0,0.0,3.5,DE,0.854465749,5.766666667
DE25,0.13163780663780664,59,134.0,59.0,0,1,0,27.3,235.22857142857143,0.6837280105432806,0.007469067799040884,5.4647998593122455,DE,49.4521,10.996,498.1,380.5,0.0,0.0,3.5,DE,0.854465749,5.3
DE26,0.030612244897959183,58,120.66666666666667,45.66666666666667,0,1,0,26.342857142857145,154.20000000000002,0.6592870357200417,0.01462565964029142,5.0447146077491185,DE,49.7913,9.9534,414.6,387.2,0.0,0.0,3.5,DE,0.854465749,4.7
DE27,0.03819444444444444,44,119.33333333333333,44.33333333333333,0,1,0,24.17142857142857,178.9,0.6214616679701103,0.011582690251780258,5.192401140956488,DE,48.3705,10.8978,546.1,494.3,0.0,0.0,3.5,DE,0.854465749,3.866666667
DE30,0.19132886361619159,824,122.0,47.0,0,1,0,35.8,3812.5142857142855,0.8379165512058769,8.104178731354346e-05,8.246306427687296,DE,52.52,13.405,650.6,0.0,0.0,0.0,3.5,DE,0.854465749,15.03333333
DE50,0.2048237476808905,33,164.0,89.0,0,1,0,25.414285714285715,1604.4142857142856,0.7443392947365988,0.0005714001767925065,7.381137124196744,DE,53.0793,8.8017,392.8,315.6,0.0,0.0,3.5,DE,0.854465749,9.566666667
