country_name,country_code,gov_effectiveness_c1,gov_effectiveness_c2,gov_effectiveness_c1_norm,gov_effectiveness_c2_norm
Austria,AT,89.6188348,86.53085446666667,0.896188348,0.8653085446666666
Belgium,BE,87.50830500000001,82.05879399999999,0.8750830500000001,0.8205879399999999
Bulgaria,BG,47.82761105,48.842695166666665,0.4782761105,0.48842695166666666
Croatia,HR,55.126410050000004,58.03442656666667,0.5512641005000001,0.5803442656666666
Cyprus,CY,79.1456012,75.56385553333332,0.791456012,0.7556385553333332
Czech Republic,CZ,64.9272733,66.65135773333334,0.649272733,0.6665135773333334
Denmark,DK,91.58412935000001,93.00466123333332,0.9158412935000001,0.9300466123333332
Estonia,EE,63.215299349999995,70.4361563,0.6321529935,0.704361563
Finland,FI,94.5090029,90.87562916666667,0.9450900289999999,0.9087562916666667
France,FR,82.5788493,81.78900956666666,0.825788493,0.8178900956666666
Germany,DE,85.4465749,84.43326403333333,0.854465749,0.8443326403333333
Greece,GR,58.666893849999994,61.322463500000005,0.5866689384999999,0.613224635
Hungary,HU,70.35219190000001,64.08221420000001,0.703521919,0.6408221420000001
Ireland,IE,78.86334790000001,80.09142276666667,0.788633479,0.8009142276666666
Italy,IT,66.1843506,57.50435213333333,0.661843506,0.5750435213333333
Latvia,LV,54.43115605,58.70570996666667,0.5443115605,0.5870570996666666
Lithuania,LT,55.84250025,62.1615624,0.5584250025,0.621615624
Luxembourg,LU,92.1103186,86.34006260000001,0.921103186,0.8634006260000001
Malta,MT,66.99720980000001,69.30635116666667,0.6699720980000001,0.6930635116666667
Netherlands,NL,92.0094469,86.73012130000001,0.920094469,0.8673012130000001
Poland,PL,58.10970705,57.80356773333333,0.5810970704999999,0.5780356773333333
Portugal,PT,70.30849045,66.70732926666666,0.7030849044999999,0.6670732926666666
Romania,RO,40.5039256,41.94686826666666,0.405039256,0.41946868266666665
Slovakia,SK,60.025881150000004,65.38832473333333,0.6002588115,0.6538832473333334
Slovenia,SI,62.27633205,66.2144072,0.6227633205,0.6621440719999999
Spain,ES,84.03762035,73.67479636666667,0.8403762035,0.7367479636666667
Sweden,SE,90.0492865,87.79528483333333,0.9004928649999999,0.8779528483333333
United Kingdom,UK,85.6046052,85.11667336666666,0.856046052,0.8511667336666666
